tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,2,1,10,+,0,07/31/2019 12:00:00 AM
4,205,2,1,15,-,0,07/31/2019 12:00:00 AM
4,205,2,2,5,+,8,07/31/2019 12:00:00 AM
4,205,2,3,5,+,23,07/31/2019 12:00:00 AM
4,205,3,1,5,+,"1,085",07/31/2019 12:00:00 AM
4,205,3,1,10,+,0,07/31/2019 12:00:00 AM
4,205,3,1,15,-,1,07/31/2019 12:00:00 AM
4,205,3,2,5,+,"1,084",07/31/2019 12:00:00 AM
4,205,3,3,5,+,"10,778",07/31/2019 12:00:00 AM
4,205,4,1,5,+,655,07/31/2019 12:00:00 AM
4,205,4,1,10,+,0,07/31/2019 12:00:00 AM
4,205,4,1,15,-,1,07/31/2019 12:00:00 AM
4,205,4,2,5,+,654,07/31/2019 12:00:00 AM
4,205,4,3,5,+,"3,549",07/31/2019 12:00:00 AM
4,205,5,1,5,+,87,07/31/2019 12:00:00 AM
4,205,5,1,10,+,0,07/31/2019 12:00:00 AM
4,205,5,1,20,+,0,07/31/2019 12:00:00 AM
4,205,5,1,25,-,0,07/31/2019 12:00:00 AM
4,205,5,2,5,+,87,07/31/2019 12:00:00 AM
4,205,5,3,5,+,465,07/31/2019 12:00:00 AM
4,205,6,1,5,+,532,07/31/2019 12:00:00 AM
4,205,6,1,10,+,0,07/31/2019 12:00:00 AM
4,205,6,1,20,+,3,07/31/2019 12:00:00 AM
4,205,6,1,25,-,1,07/31/2019 12:00:00 AM
4,205,6,2,5,+,534,07/31/2019 12:00:00 AM
4,205,6,3,5,+,"4,792",07/31/2019 12:00:00 AM
4,205,7,1,5,+,"2,390",07/31/2019 12:00:00 AM
4,205,7,1,10,+,0,07/31/2019 12:00:00 AM
4,205,7,1,15,-,2,07/31/2019 12:00:00 AM
4,205,7,1,20,+,3,07/31/2019 12:00:00 AM
4,205,7,1,25,-,1,07/31/2019 12:00:00 AM
4,205,7,2,5,+,"2,390",07/31/2019 12:00:00 AM
4,205,7,3,5,+,"19,748",07/31/2019 12:00:00 AM
4,205,1,1,5,+,23,06/30/2019 12:00:00 AM
4,205,1,1,10,+,0,06/30/2019 12:00:00 AM
4,205,1,1,15,-,0,06/30/2019 12:00:00 AM
4,205,1,2,5,+,23,06/30/2019 12:00:00 AM
4,205,1,3,5,+,212,06/30/2019 12:00:00 AM
4,205,2,1,5,+,8,06/30/2019 12:00:00 AM
4,205,2,1,10,+,0,06/30/2019 12:00:00 AM
4,205,2,1,15,-,0,06/30/2019 12:00:00 AM
4,205,2,2,5,+,8,06/30/2019 12:00:00 AM
4,205,2,3,5,+,40,06/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,086",06/30/2019 12:00:00 AM
4,205,3,1,10,+,1,06/30/2019 12:00:00 AM
4,205,3,1,15,-,2,06/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,085",06/30/2019 12:00:00 AM
4,205,3,3,5,+,"16,559",06/30/2019 12:00:00 AM
4,205,4,1,5,+,655,06/30/2019 12:00:00 AM
4,205,4,1,10,+,1,06/30/2019 12:00:00 AM
4,205,4,1,15,-,1,06/30/2019 12:00:00 AM
4,205,4,2,5,+,655,06/30/2019 12:00:00 AM
4,205,4,3,5,+,"5,268",06/30/2019 12:00:00 AM
4,205,5,1,5,+,89,06/30/2019 12:00:00 AM
4,205,5,1,10,+,0,06/30/2019 12:00:00 AM
4,205,5,1,20,+,0,06/30/2019 12:00:00 AM
4,205,5,1,25,-,2,06/30/2019 12:00:00 AM
4,205,5,2,5,+,87,06/30/2019 12:00:00 AM
4,205,5,3,5,+,812,06/30/2019 12:00:00 AM
4,205,6,1,5,+,532,06/30/2019 12:00:00 AM
4,205,6,1,10,+,0,06/30/2019 12:00:00 AM
4,205,6,1,20,+,1,06/30/2019 12:00:00 AM
4,205,6,1,25,-,1,06/30/2019 12:00:00 AM
4,205,6,2,5,+,532,06/30/2019 12:00:00 AM
4,205,6,3,5,+,"8,280",06/30/2019 12:00:00 AM
4,205,7,1,5,+,"2,393",06/30/2019 12:00:00 AM
4,205,7,1,10,+,2,06/30/2019 12:00:00 AM
4,205,7,1,15,-,3,06/30/2019 12:00:00 AM
4,205,7,1,20,+,1,06/30/2019 12:00:00 AM
4,205,7,1,25,-,3,06/30/2019 12:00:00 AM
4,205,7,2,5,+,"2,390",06/30/2019 12:00:00 AM
4,205,7,3,5,+,"31,171",06/30/2019 12:00:00 AM
4,205,1,1,5,+,23,05/31/2019 12:00:00 AM
4,205,1,1,10,+,0,05/31/2019 12:00:00 AM
4,205,1,1,15,-,0,05/31/2019 12:00:00 AM
4,205,1,2,5,+,23,05/31/2019 12:00:00 AM
4,205,1,3,5,+,141,05/31/2019 12:00:00 AM
4,205,2,1,5,+,8,05/31/2019 12:00:00 AM
4,205,2,1,10,+,0,05/31/2019 12:00:00 AM
4,205,2,1,15,-,0,05/31/2019 12:00:00 AM
4,205,2,2,5,+,8,05/31/2019 12:00:00 AM
4,205,2,3,5,+,23,05/31/2019 12:00:00 AM
4,205,3,1,5,+,"1,088",05/31/2019 12:00:00 AM
4,205,3,1,10,+,2,05/31/2019 12:00:00 AM
4,205,3,1,15,-,4,05/31/2019 12:00:00 AM
4,205,3,2,5,+,"1,086",05/31/2019 12:00:00 AM
4,205,3,3,5,+,"10,808",05/31/2019 12:00:00 AM
4,205,4,1,5,+,654,05/31/2019 12:00:00 AM
4,205,4,1,10,+,1,05/31/2019 12:00:00 AM
4,205,4,1,15,-,0,05/31/2019 12:00:00 AM
4,205,4,2,5,+,655,05/31/2019 12:00:00 AM
4,205,4,3,5,+,"3,545",05/31/2019 12:00:00 AM
4,205,5,1,5,+,91,05/31/2019 12:00:00 AM
4,205,5,1,10,+,0,05/31/2019 12:00:00 AM
4,205,5,1,20,+,0,05/31/2019 12:00:00 AM
4,205,5,1,25,-,2,05/31/2019 12:00:00 AM
4,205,5,2,5,+,89,05/31/2019 12:00:00 AM
4,205,5,3,5,+,467,05/31/2019 12:00:00 AM
4,205,6,1,5,+,530,05/31/2019 12:00:00 AM
4,205,6,1,10,+,0,05/31/2019 12:00:00 AM
4,205,6,1,20,+,5,05/31/2019 12:00:00 AM
4,205,6,1,25,-,3,05/31/2019 12:00:00 AM
4,205,6,2,5,+,532,05/31/2019 12:00:00 AM
4,205,6,3,5,+,"4,791",05/31/2019 12:00:00 AM
4,205,7,1,5,+,"2,394",05/31/2019 12:00:00 AM
4,205,7,1,10,+,3,05/31/2019 12:00:00 AM
4,205,7,1,15,-,4,05/31/2019 12:00:00 AM
4,205,7,1,20,+,5,05/31/2019 12:00:00 AM
4,205,7,1,25,-,5,05/31/2019 12:00:00 AM
4,205,7,2,5,+,"2,393",05/31/2019 12:00:00 AM
4,205,7,3,5,+,"19,775",05/31/2019 12:00:00 AM
4,205,1,1,5,+,23,04/30/2019 12:00:00 AM
4,205,1,1,10,+,0,04/30/2019 12:00:00 AM
